Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
COK,2001,0.33,0.3,0.14,4.16,0.78,3.29,0.82,11.6
COK,2002,0.33,0.3,0.14,4.16,0.78,3.3,0.82,11.59
COK,2003,0.33,0.3,0.14,4.15,0.79,3.3,0.82,11.58
COK,2004,0.33,0.3,0.15,4.15,0.79,3.3,0.82,11.58
COK,2005,0.33,0.3,0.15,4.15,0.79,3.31,0.82,11.58
COK,2006,0.33,0.3,0.15,4.16,0.79,3.31,0.82,11.58
COK,2007,0.33,0.3,0.15,4.17,0.79,3.31,0.82,11.6
COK,2008,0.33,0.3,0.15,4.2,0.79,3.32,0.82,11.62
COK,2009,0.33,0.3,0.15,4.22,0.79,3.32,0.82,11.63
COK,2010,0.33,0.3,0.15,4.23,0.79,3.32,0.81,11.63
COK,2011,0.33,0.3,0.15,4.24,0.79,3.32,0.81,11.64
COK,2012,0.33,0.3,0.15,4.25,0.78,3.33,0.81,11.64
COK,2013,0.33,0.3,0.15,4.26,0.78,3.33,0.81,11.64
COK,2014,0.33,0.3,0.16,4.27,0.78,3.33,0.8,11.64
COK,2015,0.33,0.3,0.16,4.28,0.78,3.33,0.8,11.64
COK,2016,0.33,0.3,0.16,4.27,0.78,3.33,0.8,11.63
COK,2017,0.33,0.3,0.16,4.27,0.79,3.33,0.8,11.62
COK,2018,0.33,0.3,0.16,4.28,0.79,3.33,0.81,11.63
COK,2019,0.33,0.3,0.17,4.31,0.79,3.33,0.81,11.65
CRI,1990,0.29,0.91,0.2,4.19,0.56,3.21,1.83,12.55
CRI,1991,0.29,0.91,0.2,4.19,0.56,3.2,1.81,12.55
CRI,1992,0.29,0.91,0.2,4.2,0.57,3.2,1.8,12.55
CRI,1993,0.29,0.91,0.2,4.2,0.57,3.2,1.8,12.56
CRI,1994,0.29,0.91,0.2,4.21,0.57,3.21,1.79,12.56
CRI,1995,0.29,0.91,0.2,4.21,0.57,3.21,1.8,12.57
CRI,1996,0.29,0.91,0.2,4.21,0.57,3.22,1.81,12.58
CRI,1997,0.29,0.91,0.21,4.22,0.57,3.24,1.83,12.6
CRI,1998,0.3,0.91,0.21,4.22,0.58,3.26,1.85,12.62
CRI,1999,0.3,0.91,0.21,4.23,0.58,3.28,1.87,12.64
CRI,2000,0.3,0.91,0.21,4.23,0.58,3.29,1.88,12.66
CRI,2001,0.3,0.91,0.21,4.24,0.59,3.3,1.87,12.68
CRI,2002,0.3,0.91,0.21,4.25,0.6,3.31,1.87,12.7
CRI,2003,0.3,0.92,0.21,4.25,0.61,3.32,1.85,12.73
CRI,2004,0.3,0.92,0.22,4.26,0.62,3.33,1.84,12.75
CRI,2005,0.3,0.92,0.22,4.27,0.62,3.34,1.84,12.77
CRI,2006,0.3,0.92,0.22,4.28,0.63,3.35,1.85,12.79
CRI,2007,0.3,0.92,0.22,4.29,0.63,3.35,1.87,12.81
CRI,2008,0.3,0.92,0.22,4.31,0.63,3.36,1.9,12.83
CRI,2009,0.3,0.92,0.23,4.32,0.63,3.37,1.93,12.85
CRI,2010,0.3,0.92,0.23,4.34,0.63,3.37,1.94,12.86
CRI,2011,0.3,0.92,0.23,4.35,0.63,3.38,1.94,12.88
CRI,2012,0.3,0.92,0.23,4.38,0.63,3.38,1.94,12.91
CRI,2013,0.3,0.93,0.24,4.4,0.62,3.39,1.94,12.94
CRI,2014,0.3,0.93,0.24,4.43,0.62,3.4,1.94,12.97
CRI,2015,0.3,0.93,0.24,4.44,0.62,3.41,1.94,12.98
CRI,2016,0.3,0.93,0.24,4.45,0.62,3.41,1.89,13
CRI,2017,0.3,0.93,0.25,4.46,0.63,3.41,1.84,13
CRI,2018,0.3,0.93,0.25,4.46,0.63,3.42,1.87,13.01
CRI,2019,0.3,0.93,0.25,4.47,0.62,3.42,1.93,13.01
CIV,1990,0.21,0.54,0.11,3.21,0.3,3.95,0.54,11.01
CIV,1991,0.21,0.54,0.11,3.21,0.3,3.96,0.54,11.02
CIV,1992,0.21,0.54,0.11,3.2,0.3,3.96,0.54,11.03
CIV,1993,0.21,0.54,0.11,3.2,0.3,3.96,0.54,11.04
CIV,1994,0.21,0.54,0.11,3.2,0.3,3.96,0.54,11.05
CIV,1995,0.21,0.54,0.11,3.2,0.3,3.96,0.54,11.05
CIV,1996,0.21,0.54,0.11,3.2,0.31,3.96,0.55,11.06
CIV,1997,0.21,0.54,0.11,3.2,0.31,3.96,0.55,11.06
CIV,1998,0.21,0.54,0.11,3.2,0.31,3.95,0.56,11.06
CIV,1999,0.21,0.54,0.11,3.21,0.31,3.95,0.56,11.06
CIV,2000,0.21,0.54,0.11,3.21,0.32,3.95,0.56,11.06
CIV,2001,0.21,0.54,0.11,3.21,0.32,3.94,0.56,11.07
CIV,2002,0.21,0.54,0.11,3.21,0.32,3.94,0.56,11.07
CIV,2003,0.21,0.54,0.11,3.22,0.33,3.93,0.56,11.07
CIV,2004,0.21,0.54,0.11,3.22,0.33,3.92,0.56,11.07
CIV,2005,0.21,0.54,0.11,3.22,0.33,3.92,0.56,11.07
CIV,2006,0.21,0.54,0.11,3.22,0.33,3.91,0.56,11.07
CIV,2007,0.21,0.54,0.11,3.22,0.33,3.91,0.55,11.07
CIV,2008,0.21,0.54,0.1,3.22,0.33,3.9,0.55,11.07
CIV,2009,0.21,0.54,0.1,3.22,0.33,3.9,0.55,11.08
CIV,2010,0.21,0.54,0.1,3.23,0.33,3.9,0.55,11.09
CIV,2011,0.21,0.54,0.1,3.23,0.33,3.9,0.55,11.1
CIV,2012,0.21,0.54,0.11,3.25,0.33,3.92,0.55,11.13
CIV,2013,0.21,0.54,0.11,3.26,0.33,3.95,0.55,11.16
CIV,2014,0.21,0.54,0.11,3.28,0.33,3.97,0.55,11.18
CIV,2015,0.21,0.54,0.11,3.29,0.33,3.98,0.54,11.19
CIV,2016,0.22,0.54,0.11,3.29,0.34,3.99,0.54,11.19
CIV,2017,0.22,0.54,0.11,3.29,0.34,3.99,0.54,11.18
CIV,2018,0.22,0.54,0.11,3.3,0.34,4,0.54,11.18
CIV,2019,0.22,0.54,0.12,3.3,0.34,4.01,0.56,11.19
HRV,1990,0.31,0.58,0.16,3.76,0.78,3.7,2.36,12.06
HRV,1991,0.31,0.58,0.16,3.76,0.8,3.69,2.37,12.07
HRV,1992,0.31,0.58,0.16,3.77,0.81,3.68,2.38,12.07
HRV,1993,0.31,0.58,0.15,3.77,0.82,3.67,2.39,12.07
HRV,1994,0.31,0.58,0.15,3.77,0.83,3.66,2.39,12.06
HRV,1995,0.31,0.58,0.15,3.77,0.84,3.65,2.39,12.05
HRV,1996,0.31,0.58,0.15,3.78,0.85,3.63,2.37,12.04
HRV,1997,0.31,0.58,0.15,3.79,0.86,3.61,2.35,12.02
HRV,1998,0.31,0.58,0.15,3.79,0.87,3.59,2.32,12
HRV,1999,0.31,0.58,0.15,3.8,0.87,3.56,2.29,11.97
HRV,2000,0.31,0.58,0.15,3.8,0.88,3.53,2.27,11.95
HRV,2001,0.31,0.58,0.15,3.8,0.89,3.5,2.26,11.91
HRV,2002,0.31,0.58,0.16,3.8,0.9,3.47,2.26,11.87
HRV,2003,0.31,0.58,0.16,3.79,0.91,3.43,2.26,11.82
HRV,2004,0.31,0.58,0.16,3.79,0.92,3.39,2.26,11.77
HRV,2005,0.31,0.58,0.16,3.79,0.93,3.37,2.26,11.74
HRV,2006,0.31,0.58,0.17,3.79,0.93,3.34,2.26,11.71
HRV,2007,0.31,0.58,0.17,3.79,0.93,3.32,2.25,11.68
HRV,2008,0.31,0.58,0.17,3.79,0.93,3.29,2.24,11.66
HRV,2009,0.31,0.58,0.17,3.79,0.94,3.27,2.24,11.64
HRV,2010,0.31,0.58,0.17,3.79,0.94,3.26,2.24,11.62
HRV,2011,0.31,0.58,0.17,3.8,0.94,3.25,2.25,11.62
HRV,2012,0.31,0.58,0.17,3.81,0.94,3.24,2.27,11.62
HRV,2013,0.32,0.58,0.17,3.82,0.95,3.23,2.29,11.63
HRV,2014,0.32,0.58,0.18,3.83,0.95,3.22,2.3,11.63
HRV,2015,0.32,0.58,0.18,3.84,0.95,3.22,2.31,11.64
HRV,2016,0.32,0.59,0.18,3.84,0.91,3.23,2.27,11.66
HRV,2017,0.32,0.59,0.18,3.85,0.88,3.24,2.23,11.69
HRV,2018,0.32,0.59,0.18,3.86,0.87,3.24,2.24,11.69
HRV,2019,0.32,0.59,0.18,3.87,0.85,3.24,2.28,11.69
CUB,1990,0.29,0.99,0.2,4.4,0.86,5.11,1.38,15.95
CUB,1991,0.29,0.99,0.19,4.4,0.86,5.08,1.37,15.94
CUB,1992,0.29,0.99,0.19,4.39,0.86,5.05,1.35,15.93
CUB,1993,0.29,1,0.18,4.39,0.86,5,1.35,15.91
CUB,1994,0.29,1,0.18,4.39,0.86,4.96,1.34,15.89
CUB,1995,0.29,1,0.18,4.39,0.86,4.92,1.34,15.87
CUB,1996,0.29,1,0.17,4.39,0.86,4.86,1.36,15.84
CUB,1997,0.29,1,0.17,4.39,0.86,4.8,1.38,15.81
CUB,1998,0.29,1,0.17,4.39,0.85,4.74,1.41,15.77
CUB,1999,0.29,1,0.17,4.4,0.85,4.67,1.44,15.72
CUB,2000,0.29,1,0.17,4.4,0.85,4.6,1.46,15.67
CUB,2001,0.29,1,0.17,4.4,0.85,4.54,1.46,15.61
CUB,2002,0.29,1,0.17,4.4,0.84,4.46,1.46,15.54
CUB,2003,0.29,1,0.17,4.4,0.84,4.39,1.46,15.47
CUB,2004,0.29,1,0.17,4.39,0.83,4.31,1.46,15.4
CUB,2005,0.29,1,0.17,4.4,0.83,4.25,1.47,15.34
CUB,2006,0.29,1,0.18,4.4,0.82,4.18,1.48,15.28
CUB,2007,0.29,1,0.18,4.41,0.82,4.11,1.52,15.22
CUB,2008,0.29,1,0.18,4.41,0.81,4.04,1.55,15.16
CUB,2009,0.29,1,0.18,4.42,0.81,4,1.58,15.11
CUB,2010,0.29,1,0.19,4.43,0.81,3.97,1.6,15.1
CUB,2011,0.29,1,0.19,4.44,0.8,3.97,1.6,15.09
CUB,2012,0.29,1,0.19,4.45,0.8,3.97,1.6,15.1
CUB,2013,0.29,1,0.19,4.46,0.8,3.98,1.59,15.11
CUB,2014,0.29,1,0.19,4.47,0.8,3.98,1.59,15.12
CUB,2015,0.29,1,0.2,4.48,0.8,3.98,1.59,15.11
CUB,2016,0.29,1,0.2,4.47,0.8,3.98,1.55,15.1
CUB,2017,0.29,1,0.2,4.47,0.81,3.97,1.51,15.09
CUB,2018,0.3,1,0.2,4.48,0.81,3.99,1.51,15.11
CUB,2019,0.3,1,0.2,4.49,0.81,4.02,1.53,15.15
CYP,1990,0.3,0.98,0.37,6.8,0.65,3.35,1.84,15.56
CYP,1991,0.3,0.98,0.37,6.81,0.63,3.33,1.83,15.54
CYP,1992,0.3,0.98,0.37,6.83,0.62,3.31,1.82,15.53
CYP,1993,0.3,0.98,0.38,6.84,0.61,3.29,1.81,15.52
CYP,1994,0.3,0.98,0.38,6.85,0.6,3.28,1.81,15.52
CYP,1995,0.3,0.98,0.38,6.86,0.6,3.28,1.8,15.52
CYP,1996,0.3,0.98,0.39,6.87,0.6,3.28,1.81,15.53
CYP,1997,0.3,0.98,0.39,6.89,0.6,3.29,1.82,15.56
CYP,1998,0.3,0.98,0.39,6.91,0.6,3.3,1.82,15.59
CYP,1999,0.3,0.99,0.4,6.93,0.6,3.31,1.83,15.62
CYP,2000,0.3,0.99,0.4,6.94,0.6,3.31,1.84,15.63
CYP,2001,0.3,0.99,0.4,6.96,0.61,3.31,1.84,15.64
CYP,2002,0.3,0.99,0.41,6.97,0.61,3.31,1.83,15.65
CYP,2003,0.3,0.99,0.41,6.99,0.62,3.3,1.83,15.66
CYP,2004,0.3,0.99,0.42,7.01,0.62,3.3,1.83,15.67
CYP,2005,0.3,0.99,0.42,7.03,0.63,3.3,1.83,15.68
CYP,2006,0.3,0.99,0.43,7.03,0.62,3.28,1.82,15.67
CYP,2007,0.3,0.99,0.43,7.03,0.62,3.26,1.82,15.64
CYP,2008,0.3,0.99,0.44,7.03,0.62,3.24,1.82,15.61
CYP,2009,0.3,0.99,0.44,7.03,0.62,3.22,1.81,15.58
CYP,2010,0.3,0.99,0.44,7.04,0.62,3.22,1.81,15.57
CYP,2011,0.3,0.99,0.44,7.04,0.61,3.22,1.8,15.58
CYP,2012,0.3,0.99,0.44,7.05,0.61,3.24,1.79,15.6
CYP,2013,0.3,0.99,0.44,7.06,0.62,3.25,1.77,15.63
CYP,2014,0.3,0.99,0.43,7.07,0.62,3.27,1.76,15.64
CYP,2015,0.3,0.99,0.43,7.07,0.62,3.28,1.75,15.66
CYP,2016,0.3,0.99,0.44,7.05,0.62,3.27,1.75,15.64
CYP,2017,0.3,0.99,0.44,7.02,0.62,3.27,1.74,15.62
CYP,2018,0.3,0.99,0.44,7.02,0.64,3.3,1.76,15.64
CYP,2019,0.3,0.99,0.44,7.01,0.67,3.38,1.8,15.7
CZE,1990,0.31,0.58,0.18,3.41,1.03,3.5,2.14,11.57
CZE,1991,0.31,0.59,0.18,3.41,1.07,3.5,2.18,11.59
CZE,1992,0.31,0.59,0.17,3.42,1.11,3.51,2.21,11.6
CZE,1993,0.31,0.59,0.17,3.43,1.14,3.5,2.23,11.6
CZE,1994,0.31,0.59,0.17,3.43,1.17,3.49,2.26,11.6
CZE,1995,0.31,0.59,0.17,3.44,1.18,3.49,2.28,11.59
CZE,1996,0.31,0.59,0.17,3.44,1.19,3.47,2.29,11.58
CZE,1997,0.31,0.59,0.17,3.44,1.19,3.44,2.31,11.54
CZE,1998,0.31,0.59,0.18,3.44,1.2,3.4,2.33,11.5
CZE,1999,0.32,0.59,0.18,3.44,1.2,3.36,2.34,11.46
CZE,2000,0.32,0.59,0.18,3.43,1.2,3.34,2.35,11.43
CZE,2001,0.32,0.59,0.18,3.43,1.21,3.32,2.36,11.4
CZE,2002,0.32,0.59,0.18,3.43,1.21,3.3,2.38,11.38
CZE,2003,0.32,0.59,0.18,3.44,1.22,3.28,2.4,11.36
CZE,2004,0.32,0.59,0.18,3.44,1.23,3.27,2.42,11.34
CZE,2005,0.32,0.59,0.19,3.44,1.24,3.25,2.43,11.33
CZE,2006,0.32,0.59,0.19,3.44,1.25,3.23,2.43,11.31
CZE,2007,0.32,0.59,0.19,3.44,1.26,3.22,2.42,11.29
CZE,2008,0.32,0.59,0.19,3.44,1.27,3.2,2.42,11.27
CZE,2009,0.32,0.59,0.19,3.43,1.28,3.18,2.41,11.25
CZE,2010,0.32,0.59,0.2,3.43,1.29,3.17,2.4,11.24
CZE,2011,0.32,0.59,0.2,3.43,1.31,3.16,2.4,11.22
CZE,2012,0.32,0.59,0.2,3.43,1.32,3.14,2.41,11.21
CZE,2013,0.32,0.59,0.2,3.43,1.33,3.13,2.41,11.2
CZE,2014,0.32,0.59,0.2,3.42,1.34,3.12,2.41,11.19
CZE,2015,0.32,0.59,0.2,3.42,1.35,3.11,2.41,11.18
CZE,2016,0.32,0.59,0.2,3.41,1.36,3.11,2.39,11.17
CZE,2017,0.32,0.59,0.2,3.4,1.36,3.11,2.37,11.15
CZE,2018,0.32,0.59,0.21,3.4,1.32,3.11,2.39,11.14
CZE,2019,0.32,0.59,0.21,3.4,1.23,3.11,2.43,11.14
COD,1990,0.21,0.56,0.09,3.84,0.34,5.62,1.15,13.43
COD,1991,0.21,0.56,0.09,3.84,0.34,5.61,1.14,13.45
COD,1992,0.21,0.56,0.09,3.84,0.34,5.6,1.13,13.47
COD,1993,0.21,0.56,0.08,3.84,0.34,5.59,1.13,13.5
COD,1994,0.21,0.56,0.08,3.84,0.34,5.58,1.12,13.53
COD,1995,0.21,0.56,0.08,3.84,0.34,5.58,1.11,13.57
COD,1996,0.21,0.56,0.08,3.84,0.34,5.57,1.11,13.62
COD,1997,0.21,0.56,0.07,3.84,0.34,5.56,1.1,13.67
COD,1998,0.2,0.56,0.07,3.84,0.34,5.55,1.09,13.72
COD,1999,0.2,0.56,0.07,3.84,0.34,5.54,1.09,13.77
COD,2000,0.2,0.56,0.07,3.84,0.34,5.53,1.08,13.81
COD,2001,0.2,0.56,0.07,3.84,0.34,5.52,1.07,13.83
COD,2002,0.2,0.56,0.07,3.84,0.34,5.51,1.07,13.86
COD,2003,0.2,0.56,0.07,3.83,0.33,5.5,1.06,13.88
COD,2004,0.2,0.56,0.07,3.83,0.33,5.49,1.05,13.9
COD,2005,0.2,0.56,0.06,3.83,0.33,5.48,1.04,13.9
COD,2006,0.2,0.56,0.06,3.83,0.33,5.47,1.03,13.89
COD,2007,0.2,0.56,0.06,3.82,0.33,5.46,1.03,13.89
COD,2008,0.2,0.56,0.06,3.82,0.33,5.44,1.02,13.87
COD,2009,0.2,0.56,0.06,3.82,0.33,5.44,1.01,13.87
COD,2010,0.2,0.56,0.06,3.82,0.33,5.43,1.01,13.86
COD,2011,0.2,0.56,0.07,3.82,0.34,5.44,1.01,13.85
COD,2012,0.2,0.56,0.07,3.83,0.34,5.45,1.01,13.82
COD,2013,0.2,0.56,0.07,3.84,0.34,5.46,1.01,13.78
COD,2014,0.2,0.56,0.07,3.85,0.34,5.47,1.02,13.74
COD,2015,0.2,0.56,0.07,3.86,0.34,5.47,1.02,13.71
COD,2016,0.2,0.56,0.07,3.86,0.35,5.47,1.01,13.67
COD,2017,0.21,0.56,0.07,3.87,0.35,5.47,1,13.64
COD,2018,0.21,0.56,0.07,3.87,0.35,5.48,1.01,13.63
COD,2019,0.21,0.56,0.08,3.85,0.35,5.5,1.04,13.64
DNK,1990,0.24,1.04,0.45,5.28,1.1,4.82,2.72,14.84
DNK,1991,0.24,1.04,0.45,5.3,1.1,4.8,2.76,14.82
DNK,1992,0.24,1.04,0.45,5.3,1.1,4.76,2.8,14.78
DNK,1993,0.24,1.04,0.46,5.31,1.09,4.72,2.84,14.75
DNK,1994,0.24,1.04,0.46,5.32,1.09,4.67,2.88,14.7
DNK,1995,0.24,1.04,0.46,5.32,1.09,4.63,2.92,14.66
DNK,1996,0.24,1.05,0.46,5.32,1.09,4.56,2.96,14.61
DNK,1997,0.24,1.05,0.47,5.32,1.08,4.48,3.01,14.53
DNK,1998,0.24,1.04,0.47,5.32,1.07,4.39,3.06,14.46
DNK,1999,0.24,1.04,0.47,5.32,1.07,4.3,3.11,14.37
DNK,2000,0.24,1.05,0.48,5.32,1.07,4.23,3.15,14.31
DNK,2001,0.24,1.04,0.48,5.32,1.08,4.17,3.18,14.27
DNK,2002,0.24,1.04,0.48,5.32,1.08,4.12,3.21,14.22
DNK,2003,0.24,1.04,0.49,5.32,1.09,4.06,3.24,14.17
DNK,2004,0.24,1.04,0.49,5.33,1.1,4.02,3.25,14.14
DNK,2005,0.24,1.04,0.49,5.33,1.11,3.98,3.26,14.11
DNK,2006,0.24,1.04,0.5,5.33,1.11,3.95,3.25,14.1
DNK,2007,0.25,1.04,0.5,5.34,1.12,3.93,3.24,14.11
DNK,2008,0.26,1.04,0.51,5.35,1.13,3.91,3.22,14.13
DNK,2009,0.27,1.05,0.51,5.36,1.13,3.9,3.19,14.15
DNK,2010,0.27,1.05,0.51,5.37,1.14,3.89,3.18,14.16
DNK,2011,0.27,1.05,0.51,5.38,1.14,3.89,3.16,14.17
DNK,2012,0.27,1.05,0.51,5.41,1.15,3.89,3.15,14.18
DNK,2013,0.27,1.05,0.51,5.43,1.15,3.9,3.14,14.2
DNK,2014,0.27,1.05,0.51,5.46,1.15,3.9,3.13,14.21
DNK,2015,0.27,1.05,0.51,5.47,1.15,3.9,3.13,14.22
DNK,2016,0.27,1.05,0.52,5.47,1.15,3.89,3.12,14.21
DNK,2017,0.27,1.05,0.52,5.46,1.15,3.87,3.1,14.19
DNK,2018,0.27,1.05,0.52,5.44,1.13,3.86,3.08,14.16
DNK,2019,0.27,1.04,0.52,5.39,1.1,3.85,3.04,14.1
DJI,1990,0.23,0.62,0.11,3.29,0.34,4.54,1.51,11.83
DJI,1991,0.23,0.62,0.11,3.29,0.34,4.54,1.5,11.85
DJI,1992,0.22,0.62,0.11,3.3,0.34,4.54,1.5,11.85
DJI,1993,0.22,0.62,0.11,3.3,0.34,4.53,1.5,11.86
DJI,1994,0.22,0.62,0.11,3.3,0.34,4.53,1.5,11.87
DJI,1995,0.22,0.62,0.11,3.3,0.34,4.53,1.5,11.89
DJI,1996,0.22,0.62,0.1,3.3,0.35,4.54,1.5,11.9
DJI,1997,0.22,0.62,0.1,3.3,0.35,4.54,1.5,11.92
DJI,1998,0.22,0.62,0.1,3.3,0.35,4.55,1.5,11.94
DJI,1999,0.22,0.62,0.1,3.3,0.35,4.56,1.5,11.96
DJI,2000,0.22,0.62,0.1,3.3,0.36,4.57,1.5,11.97
DJI,2001,0.22,0.62,0.1,3.3,0.36,4.57,1.5,11.99
DJI,2002,0.22,0.62,0.1,3.31,0.36,4.58,1.49,12
DJI,2003,0.23,0.62,0.1,3.31,0.36,4.58,1.48,12.01
DJI,2004,0.23,0.62,0.1,3.31,0.36,4.58,1.47,12.03
DJI,2005,0.23,0.62,0.1,3.32,0.36,4.59,1.46,12.03
DJI,2006,0.23,0.63,0.1,3.32,0.36,4.59,1.45,12.04
DJI,2007,0.23,0.63,0.1,3.32,0.37,4.58,1.44,12.03
DJI,2008,0.23,0.63,0.1,3.33,0.37,4.58,1.43,12.03
DJI,2009,0.23,0.63,0.1,3.33,0.37,4.57,1.43,12.02
DJI,2010,0.23,0.63,0.1,3.33,0.37,4.57,1.42,12.01
DJI,2011,0.23,0.63,0.1,3.34,0.37,4.57,1.42,12.01
DJI,2012,0.23,0.63,0.11,3.35,0.37,4.58,1.41,12.02
DJI,2013,0.23,0.63,0.11,3.36,0.37,4.59,1.41,12.02
DJI,2014,0.23,0.63,0.11,3.37,0.37,4.59,1.4,12.02
DJI,2015,0.23,0.63,0.11,3.37,0.37,4.59,1.4,12.02
DJI,2016,0.23,0.63,0.11,3.38,0.37,4.61,1.4,12.03
DJI,2017,0.23,0.63,0.11,3.38,0.38,4.62,1.4,12.04
DJI,2018,0.23,0.63,0.11,3.39,0.38,4.63,1.41,12.04
DJI,2019,0.23,0.63,0.11,3.39,0.38,4.64,1.44,12.04
DMA,1990,0.28,0.94,0.18,4.41,1.12,3.2,1.7,14.22
DMA,1991,0.28,0.94,0.19,4.4,1.13,3.17,1.69,14.18
DMA,1992,0.28,0.94,0.19,4.4,1.14,3.14,1.69,14.15
DMA,1993,0.28,0.94,0.19,4.39,1.15,3.11,1.69,14.12
DMA,1994,0.28,0.94,0.19,4.39,1.16,3.1,1.69,14.09
DMA,1995,0.28,0.94,0.19,4.39,1.17,3.09,1.7,14.08
DMA,1996,0.28,0.94,0.19,4.39,1.18,3.09,1.72,14.08
DMA,1997,0.28,0.94,0.19,4.39,1.18,3.09,1.75,14.08
DMA,1998,0.28,0.94,0.2,4.39,1.19,3.1,1.79,14.08
DMA,1999,0.28,0.94,0.2,4.4,1.19,3.11,1.82,14.08
DMA,2000,0.28,0.94,0.2,4.4,1.2,3.11,1.84,14.08
DMA,2001,0.28,0.94,0.2,4.4,1.2,3.11,1.85,14.08
DMA,2002,0.28,0.94,0.2,4.39,1.2,3.12,1.85,14.08
DMA,2003,0.29,0.94,0.2,4.39,1.2,3.12,1.86,14.08
DMA,2004,0.29,0.94,0.2,4.39,1.2,3.12,1.86,14.07
DMA,2005,0.29,0.94,0.2,4.38,1.2,3.12,1.87,14.07
DMA,2006,0.29,0.94,0.2,4.39,1.2,3.11,1.89,14.07
DMA,2007,0.29,0.94,0.21,4.4,1.2,3.1,1.93,14.06
DMA,2008,0.29,0.95,0.21,4.41,1.19,3.08,1.98,14.06
DMA,2009,0.29,0.95,0.21,4.42,1.19,3.07,2.02,14.06
DMA,2010,0.29,0.95,0.21,4.42,1.18,3.07,2.05,14.06
DMA,2011,0.29,0.95,0.21,4.43,1.17,3.08,2.08,14.08
DMA,2012,0.29,0.95,0.21,4.45,1.14,3.09,2.11,14.11
DMA,2013,0.29,0.95,0.22,4.47,1.1,3.11,2.13,14.14
DMA,2014,0.29,0.95,0.22,4.48,1.06,3.13,2.15,14.18
DMA,2015,0.29,0.95,0.22,4.49,1.05,3.14,2.16,14.19
DMA,2016,0.29,0.95,0.22,4.49,1.04,3.15,2.1,14.19
DMA,2017,0.29,0.95,0.22,4.49,1.04,3.15,2.04,14.19
DMA,2018,0.29,0.95,0.22,4.49,1.04,3.18,2.03,14.22
DMA,2019,0.29,0.95,0.22,4.49,1.04,3.24,2.03,14.28
DOM,1990,0.28,0.94,0.18,4.61,0.49,3.88,1.48,14.85
DOM,1991,0.28,0.94,0.18,4.61,0.49,3.89,1.45,14.85
DOM,1992,0.28,0.94,0.18,4.61,0.49,3.9,1.42,14.86
DOM,1993,0.28,0.94,0.18,4.6,0.49,3.9,1.4,14.86
DOM,1994,0.28,0.94,0.18,4.6,0.49,3.91,1.39,14.86
DOM,1995,0.28,0.94,0.18,4.6,0.49,3.92,1.38,14.87
DOM,1996,0.28,0.94,0.18,4.6,0.5,3.94,1.39,14.88
DOM,1997,0.28,0.94,0.19,4.6,0.5,3.97,1.4,14.91
DOM,1998,0.28,0.94,0.19,4.6,0.5,4.02,1.42,14.95
DOM,1999,0.28,0.94,0.19,4.6,0.5,4.06,1.43,14.97
DOM,2000,0.28,0.94,0.19,4.59,0.5,4.08,1.44,14.98
DOM,2001,0.28,0.94,0.19,4.59,0.5,4.09,1.44,14.99
DOM,2002,0.28,0.94,0.19,4.59,0.51,4.11,1.43,15
DOM,2003,0.28,0.94,0.2,4.59,0.51,4.12,1.41,15.02
DOM,2004,0.28,0.94,0.2,4.59,0.51,4.13,1.4,15.03
DOM,2005,0.28,0.95,0.2,4.59,0.52,4.13,1.39,15.04
DOM,2006,0.28,0.95,0.2,4.6,0.52,4.12,1.4,15.04
DOM,2007,0.28,0.95,0.2,4.61,0.53,4.11,1.41,15.04
DOM,2008,0.28,0.95,0.21,4.63,0.53,4.09,1.43,15.05
DOM,2009,0.28,0.95,0.21,4.65,0.53,4.07,1.44,15.05
DOM,2010,0.29,0.95,0.21,4.66,0.54,4.06,1.45,15.05
DOM,2011,0.29,0.95,0.22,4.66,0.54,4.04,1.45,15.04
DOM,2012,0.29,0.95,0.22,4.67,0.54,4.02,1.44,15.03
DOM,2013,0.29,0.95,0.22,4.68,0.55,3.99,1.44,15.01
DOM,2014,0.29,0.95,0.22,4.69,0.55,3.96,1.43,15
DOM,2015,0.29,0.95,0.23,4.7,0.55,3.96,1.42,15
DOM,2016,0.29,0.95,0.23,4.69,0.55,3.96,1.39,15
DOM,2017,0.29,0.95,0.23,4.69,0.56,3.96,1.35,14.99
DOM,2018,0.29,0.95,0.24,4.69,0.59,3.97,1.35,15.01
DOM,2019,0.29,0.95,0.24,4.71,0.65,4,1.36,15.04
ECU,1990,0.28,0.94,0.25,5.28,0.58,3.39,1.34,14.24
ECU,1991,0.28,0.94,0.25,5.26,0.58,3.38,1.3,14.21
ECU,1992,0.28,0.94,0.25,5.25,0.58,3.38,1.27,14.18
ECU,1993,0.28,0.94,0.25,5.24,0.58,3.38,1.24,14.16
ECU,1994,0.28,0.93,0.25,5.23,0.58,3.38,1.22,14.16
