Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
DZA,2004,0.26,0.8,0.2,4.9,0.41,4.35,0.44,14.87
DZA,2005,0.26,0.8,0.2,4.9,0.42,4.34,0.44,14.84
DZA,2006,0.26,0.8,0.2,4.9,0.42,4.33,0.44,14.82
DZA,2007,0.26,0.8,0.21,4.91,0.43,4.31,0.44,14.78
DZA,2008,0.26,0.8,0.21,4.91,0.44,4.29,0.44,14.75
DZA,2009,0.26,0.8,0.21,4.92,0.45,4.28,0.44,14.72
DZA,2010,0.26,0.8,0.21,4.92,0.45,4.27,0.44,14.71
DZA,2011,0.26,0.8,0.21,4.93,0.46,4.28,0.43,14.7
DZA,2012,0.26,0.8,0.21,4.95,0.47,4.29,0.43,14.71
DZA,2013,0.26,0.8,0.22,4.97,0.47,4.3,0.43,14.73
DZA,2014,0.26,0.8,0.22,4.98,0.48,4.31,0.43,14.74
DZA,2015,0.26,0.8,0.22,4.99,0.48,4.31,0.43,14.74
DZA,2016,0.26,0.8,0.22,5,0.49,4.31,0.43,14.72
DZA,2017,0.26,0.8,0.22,5.01,0.49,4.3,0.43,14.71
DZA,2018,0.26,0.8,0.22,5.03,0.49,4.32,0.43,14.73
DZA,2019,0.26,0.8,0.22,5.05,0.49,4.37,0.43,14.78
AND,1990,0.32,1.02,0.52,5.85,0.96,4.03,2.2,15.38
AND,1991,0.32,1.02,0.51,5.85,0.96,4.01,2.21,15.38
AND,1992,0.32,1.02,0.51,5.87,0.97,4,2.21,15.39
AND,1993,0.32,1.02,0.51,5.88,0.97,3.99,2.21,15.39
AND,1994,0.32,1.02,0.51,5.9,0.97,3.99,2.21,15.4
AND,1995,0.32,1.02,0.52,5.91,0.97,3.99,2.2,15.41
AND,1996,0.32,1.02,0.52,5.92,0.98,3.99,2.21,15.42
AND,1997,0.32,1.02,0.52,5.92,0.98,3.98,2.22,15.42
AND,1998,0.32,1.02,0.52,5.93,0.99,3.97,2.23,15.41
AND,1999,0.32,1.02,0.53,5.93,0.99,3.97,2.24,15.41
AND,2000,0.31,1.02,0.53,5.94,1,3.96,2.25,15.41
AND,2001,0.32,1.02,0.54,5.95,1,3.96,2.25,15.42
AND,2002,0.32,1.02,0.55,5.96,1.01,3.95,2.26,15.42
AND,2003,0.32,1.03,0.56,5.96,1.02,3.94,2.27,15.42
AND,2004,0.32,1.03,0.56,5.96,1.03,3.93,2.28,15.41
AND,2005,0.32,1.03,0.56,5.96,1.04,3.92,2.29,15.41
AND,2006,0.32,1.03,0.57,5.95,1.05,3.91,2.29,15.41
AND,2007,0.32,1.03,0.57,5.94,1.06,3.9,2.3,15.39
AND,2008,0.32,1.03,0.57,5.94,1.06,3.9,2.3,15.38
AND,2009,0.32,1.03,0.57,5.93,1.07,3.89,2.3,15.36
AND,2010,0.32,1.03,0.57,5.93,1.08,3.89,2.29,15.36
AND,2011,0.32,1.03,0.57,5.96,1.08,3.91,2.28,15.39
AND,2012,0.32,1.03,0.57,5.98,1.09,3.91,2.28,15.41
AND,2013,0.32,1.03,0.57,5.99,1.1,3.92,2.28,15.43
AND,2014,0.32,1.03,0.56,6.01,1.11,3.93,2.29,15.45
AND,2015,0.32,1.03,0.56,6.01,1.12,3.93,2.29,15.45
AND,2016,0.32,1.03,0.56,6.01,1.12,3.93,2.29,15.45
AND,2017,0.32,1.03,0.57,6.01,1.12,3.92,2.28,15.45
AND,2018,0.32,1.03,0.57,6.01,1.12,3.94,2.29,15.46
AND,2019,0.32,1.03,0.57,6.01,1.12,3.97,2.31,15.5
AGO,1990,0.22,0.56,0.11,3.97,0.36,5.99,1.26,13.59
AGO,1991,0.22,0.56,0.11,3.98,0.36,5.99,1.25,13.61
AGO,1992,0.22,0.56,0.11,3.98,0.36,6,1.24,13.63
AGO,1993,0.21,0.56,0.1,3.98,0.36,6,1.23,13.64
AGO,1994,0.21,0.56,0.1,3.99,0.36,6,1.22,13.66
AGO,1995,0.21,0.56,0.1,3.99,0.36,6,1.21,13.66
AGO,1996,0.21,0.56,0.1,4,0.36,6,1.21,13.67
AGO,1997,0.21,0.56,0.1,4,0.36,5.99,1.2,13.66
AGO,1998,0.21,0.56,0.1,4,0.36,5.98,1.2,13.66
AGO,1999,0.21,0.56,0.1,4.01,0.36,5.97,1.19,13.66
AGO,2000,0.21,0.56,0.1,4.01,0.36,5.96,1.19,13.65
AGO,2001,0.21,0.56,0.1,4.02,0.36,5.95,1.18,13.64
AGO,2002,0.21,0.56,0.1,4.02,0.36,5.94,1.17,13.63
AGO,2003,0.21,0.56,0.11,4.02,0.36,5.92,1.17,13.6
AGO,2004,0.22,0.56,0.11,4.03,0.36,5.91,1.16,13.58
AGO,2005,0.22,0.56,0.11,4.03,0.35,5.89,1.15,13.55
AGO,2006,0.22,0.56,0.11,4.03,0.35,5.88,1.14,13.53
AGO,2007,0.22,0.56,0.11,4.03,0.35,5.87,1.13,13.5
AGO,2008,0.22,0.56,0.12,4.04,0.35,5.85,1.12,13.46
AGO,2009,0.22,0.56,0.12,4.04,0.35,5.84,1.11,13.42
AGO,2010,0.22,0.56,0.12,4.04,0.35,5.84,1.11,13.4
AGO,2011,0.22,0.56,0.13,4.04,0.35,5.84,1.11,13.38
